FUR-BO-10001798,Bush Somerset Collection Bookcase,CA-2016-152156,Furniture,Bookcases
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",CA-2016-152156,Furniture,Chairs
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,CA-2016-138688,Office Supplies,Labels
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,US-2015-108966,Furniture,Tables
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,US-2015-108966,Office Supplies,Storage
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",CA-2014-115812,Furniture,Furnishings
OFF-AR-10002833,Newell 322,CA-2014-115812,Office Supplies,Art
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,CA-2014-115812,Technology,Phones
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,CA-2014-115812,Office Supplies,Binders
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,CA-2014-115812,Office Supplies,Appliances
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,CA-2014-115812,Furniture,Tables
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,CA-2014-115812,Technology,Phones
OFF-PA-10002365,Xerox 1967,CA-2017-114412,Office Supplies,Paper
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,CA-2016-161389,Office Supplies,Binders
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",US-2015-118983,Office Supplies,Appliances
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,US-2015-118983,Office Supplies,Binders
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",CA-2014-105893,Office Supplies,Storage
OFF-ST-10000107,Fellowes Super Stor/Drawer,CA-2014-167164,Office Supplies,Storage
OFF-AR-10003056,Newell 341,CA-2014-143336,Office Supplies,Art
TEC-PH-10001949,Cisco SPA 501G IP Phone,CA-2014-143336,Technology,Phones
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",CA-2014-143336,Office Supplies,Binders
OFF-AR-10000246,Newell 318,CA-2016-137330,Office Supplies,Art
